City,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Joura,26.34,77.81,86.0,28,5,3.91,IN,1601736750
Itoman,26.12,127.67,78.8,74,20,8.05,JP,1601736584
Faya,18.39,42.45,78.8,10,20,14.99,SA,1601736751
Mēga,4.05,38.3,73.45,42,61,16.17,ET,1601736752
Whitecourt,54.15,-115.69,33.8,78,20,2.24,CA,1601736456
Almaznyy,48.04,40.05,68.0,37,97,11.18,RU,1601736753
Vestmanna,62.16,-7.17,50.0,93,100,13.87,FO,1601736754
Itaunja,27.08,80.92,84.2,83,75,2.24,IN,1601736755
Ketchikan,55.34,-131.65,55.4,100,90,11.41,US,1601736754
West Wendover,40.74,-114.07,46.4,42,1,3.44,US,1601736718
Dunedin,-45.87,170.5,63.0,46,98,13.4,NZ,1601736551
Nouakchott,18.09,-15.98,98.6,20,0,13.87,MR,1601736758
Porto Torres,40.84,8.4,60.8,87,75,11.41,IT,1601736759
Marawi,8.0,124.29,78.01,86,88,1.99,PH,1601736623
Bogoslovka,53.21,44.8,64.99,38,42,5.3,RU,1601736760
Khovd,48.01,91.64,36.25,72,0,2.08,MN,1601736761
Deputatsky,69.3,139.9,23.54,96,100,20.94,RU,1601736762
Thunder Bay,48.4,-89.32,39.0,74,90,2.89,CA,1601736762
Mawlaik,23.63,94.42,79.16,88,63,1.5,MM,1601736763
Lüderitz,-26.65,15.16,62.65,60,0,15.26,NA,1601736764
Ushtobe,45.25,77.98,50.4,47,10,4.85,KZ,1601736764
Wiarton,44.74,-81.13,45.0,93,90,4.7,CA,1601736766
Cherskiy,68.75,161.3,27.95,97,34,7.27,RU,1601736766
Quatre Cocos,-20.21,57.76,75.2,73,20,8.05,MU,1601736767
Alyangula,-13.85,136.42,71.6,83,68,2.89,AU,1601736768
Daru,-9.08,143.21,78.26,88,100,17.54,PG,1601736768
Saint-Philippe,-21.36,55.77,73.4,78,40,11.41,RE,1601736477
Bara,10.37,10.73,85.33,55,100,4.12,NG,1601736770
Moree,-29.47,149.85,68.0,49,0,14.99,AU,1601736770
Grand-Santi,4.25,-54.38,94.86,39,68,4.56,GF,1601736771
Taree,-31.9,152.47,62.6,82,1,10.29,AU,1601736771
Buala,-8.14,159.59,79.97,80,15,7.25,SB,1601736772
Praia,14.92,-23.51,86.0,66,40,20.8,CV,1601736773
Edd,13.93,41.69,92.21,44,7,11.7,ER,1601736773
Sol'-Iletsk,51.16,54.99,57.07,54,3,4.72,RU,1601736774
Rjukan,59.88,8.59,55.4,82,75,3.36,NO,1601736775
Paris,48.85,2.35,59.0,76,90,8.05,FR,1601736661
Impfondo,1.64,18.07,89.67,49,45,2.24,CG,1601736776
Carnarvon,-24.87,113.63,62.6,59,0,26.4,AU,1601736777
Longyearbyen,78.22,15.64,33.8,80,20,3.36,SJ,1601736668
Mayor Pablo Lagerenza,-19.93,-60.77,92.14,30,40,10.8,PY,1601736778
Jamiltepec,16.28,-97.82,75.69,60,89,3.38,MX,1601736778
Sola,-13.88,167.55,78.19,79,25,22.3,VU,1601736779
Amberley,39.2,-84.43,59.0,70,79,3.62,US,1601736780
San Miguel de Cozumel,20.51,-86.95,77.0,100,90,17.22,MX,1601736780
Kuytun,54.34,101.5,28.2,89,5,6.22,RU,1601736781
Broken Hill,-31.95,141.43,77.0,25,37,12.75,AU,1601736782
Sørland,67.67,12.69,52.38,78,0,13.6,NO,1601736782
Ongandjera,-17.88,15.07,94.21,10,50,3.06,NA,1601736783
Slochteren,53.22,6.81,60.01,87,90,5.82,NL,1601736784
Mandalay,21.97,96.08,81.5,73,43,3.71,MM,1601736516
Coahuayana Viejo,18.73,-103.68,68.0,64,5,11.41,MX,1601736785
Vila Velha,-20.33,-40.29,89.6,52,0,12.75,BR,1601736786
Am Timan,11.03,20.28,87.44,65,97,3.18,TD,1601736786
Vondrozo,-22.82,47.28,61.47,100,100,3.22,MG,1601736787
Kutum,14.2,24.67,89.33,25,54,11.18,SD,1601736787
Wanaka,-44.7,169.15,47.95,75,3,10.42,NZ,1601736788
Juneau,58.3,-134.42,50.0,100,75,5.82,US,1601736721
Sabang,5.89,95.32,81.57,76,100,12.01,ID,1601736790
Avera,33.19,-82.53,64.4,59,1,6.93,US,1601736790
Henties Bay,-22.12,14.28,57.99,84,1,7.0,NA,1601736791
Ust'-Kulom,61.69,53.69,36.86,80,12,5.12,RU,1601736792
Pop,40.87,71.11,60.8,55,0,4.7,UZ,1601736792
Port-Gentil,-0.72,8.78,78.15,84,100,10.83,GA,1601736793
San Miguel de Tucumán,-26.82,-65.22,60.8,48,90,11.41,AR,1601736793
Makkah al Mukarramah,21.43,39.83,91.0,40,0,9.4,SA,1601736794
Tautira,-17.73,-149.15,73.4,83,20,3.36,PF,1601736796
Port Keats,-14.25,129.55,81.25,77,100,11.52,AU,1601736797
Celestún,20.87,-90.4,81.86,69,99,25.55,MX,1601736798
Kiama,-34.68,150.87,64.99,77,64,8.01,AU,1601736798
Korla,41.76,86.15,57.11,32,67,2.86,CN,1601736799
Olafsvik,64.89,-23.71,42.24,70,73,8.48,IS,1601736800
Alice Springs,-23.7,133.88,86.0,19,0,19.46,AU,1601736801
Luís Correia,-2.88,-41.67,91.69,42,2,11.92,BR,1601736802
Tabou,4.42,-7.35,79.21,82,100,11.63,CI,1601736803
Negombo,7.21,79.84,82.4,78,40,9.17,LK,1601736803
Kieta,-6.22,155.63,78.08,77,15,6.08,PG,1601736804
Elk River,45.3,-93.57,43.0,77,96,3.11,US,1601736518
Wattegama,6.8,81.48,82.4,78,40,5.82,LK,1601736805
Sibolga,1.74,98.78,78.76,77,100,3.13,ID,1601736806
Sisimiut,66.94,-53.67,32.61,91,73,7.49,GL,1601736807
Provideniya,64.38,-173.3,38.16,78,81,14.27,RU,1601736809
San Cristobal,7.77,-72.22,89.6,35,40,16.11,VE,1601736810
Anchorage,61.22,-149.9,53.6,62,75,9.17,US,1601736773
Abilene,32.45,-99.73,64.99,68,1,13.87,US,1601736811
Nur-Sultan,51.18,71.45,51.8,66,85,6.71,KZ,1601736812
Bud,39.45,-86.18,53.01,66,1,3.36,US,1601736812
Mananjary,-21.22,48.33,72.86,90,93,8.08,MG,1601736813
Ormara,25.21,64.64,85.64,58,0,10.54,PK,1601736814
Rong Kwang,18.34,100.32,77.32,87,88,1.86,TH,1601736815
Halifax,44.65,-63.57,61.0,77,4,1.99,CA,1601736574
Roald,62.58,6.13,66.2,42,0,12.75,NO,1601736816
Sarmanovo,55.26,52.59,55.4,54,0,6.71,RU,1601736817
Sos'va,59.18,61.86,38.17,76,86,6.13,RU,1601736817
Pangnirtung,66.15,-65.71,30.2,100,90,3.44,CA,1601736818
Broome,42.25,-75.83,53.01,75,40,6.93,US,1601736819
Heishan,41.69,122.11,56.14,43,22,12.01,CN,1601736819
Nosy Varika,-20.58,48.53,74.44,84,61,3.33,MG,1601736820
Pilibanga,29.49,74.08,84.02,16,0,0.74,IN,1601736821
Bonavista,48.65,-53.11,60.93,94,100,18.21,CA,1601736821
Fukuechō,32.69,128.84,73.36,79,57,5.1,JP,1601736822
Qingdao,36.1,120.37,66.0,82,99,2.24,CN,1601736823
Baní,18.28,-70.33,82.99,83,40,11.41,DO,1601736823
Salinópolis,-0.61,-47.36,85.59,65,15,14.09,BR,1601736727
Ostrovnoy,68.05,39.51,39.96,73,46,10.76,RU,1601736825
Axum,14.12,38.72,67.55,46,14,9.06,ET,1601736825
Darnah,32.77,22.64,85.33,45,82,3.42,LY,1601736826
Camacha,33.08,-16.33,75.2,73,40,18.34,PT,1601736827
Zhanjiang,21.28,110.34,79.86,89,16,9.53,CN,1601736827
Clyde River,70.47,-68.59,30.2,74,75,5.82,CA,1601736828
Kimbe,-5.55,150.14,74.62,89,3,4.65,PG,1601736829
Koungheul,13.98,-14.8,93.79,51,1,6.15,SN,1601736829
Kang,-23.68,22.79,92.91,10,1,11.32,BW,1601736830
Hūn,29.13,15.95,104.79,7,0,8.77,LY,1601736831
The Valley,18.22,-63.06,86.0,83,40,13.87,AI,1601736832
Alofi,-19.06,-169.92,75.2,94,100,6.93,NU,1601736832
Sadove,46.25,30.18,69.8,83,40,15.66,UA,1601736833
Shache,38.42,77.24,53.55,38,71,3.94,CN,1601736631
Sarangani,5.4,125.46,84.96,74,100,10.94,PH,1601736834
La Ronge,55.1,-105.28,39.2,93,75,3.36,CA,1601736835
Karaton,-6.34,106.1,82.0,83,20,4.7,ID,1601736836
Mandalgovi,45.76,106.27,24.22,84,0,12.24,MN,1601736836
Nizhneudinsk,54.91,99.03,32.5,85,87,3.0,RU,1601736837
Buchanan,5.88,-10.05,82.4,83,75,8.05,LR,1601736838
Joshīmath,30.57,79.57,57.81,44,3,2.98,IN,1601736839
Kyzyl-Suu,42.34,78.0,46.8,57,55,6.89,KG,1601736839
Kampong Cham,11.99,105.46,76.62,95,100,9.78,KH,1601736840
Moskovskiy,55.6,37.35,60.8,54,100,6.71,RU,1601736841
Oodweyne,9.41,45.06,79.41,49,63,17.6,SO,1601736841
İskilip,40.74,34.47,68.43,27,0,1.72,TR,1601736842
Asău,46.43,26.4,69.01,76,100,4.14,RO,1601736842
Dicabisagan,17.08,122.42,78.17,83,99,6.11,PH,1601736844
Plouzané,48.38,-4.62,53.6,76,90,25.28,FR,1601736844
Bayir,37.27,28.22,87.8,30,0,13.87,TR,1601736845
Acajutla,13.59,-89.83,73.99,100,20,2.24,SV,1601736845
Mabaruma,8.2,-59.78,87.93,60,87,5.64,GY,1601736846
Porto Velho,-8.76,-63.9,86.0,62,19,3.36,BR,1601736847
Dodge City,37.75,-100.02,51.8,71,1,13.87,US,1601736848
Flin Flon,54.77,-101.86,41.0,86,90,10.29,CA,1601736848
Selfoss,63.93,-21.0,45.0,85,96,13.0,IS,1601736850
Hue,16.47,107.6,80.6,94,75,2.24,VN,1601736850
Port Macquarie,-31.43,152.92,60.01,94,0,12.55,AU,1601736851
Palmer,42.16,-72.33,57.0,44,5,1.01,US,1601736851
Marsh Harbour,26.54,-77.06,83.64,76,99,15.32,BS,1601736853
Chadiza,-14.07,32.44,90.97,15,18,10.76,ZM,1601736854
Mitú,1.2,-70.17,92.12,47,0,1.86,CO,1601736602
Portree,57.41,-6.19,48.99,87,100,3.0,GB,1601736855
Kemijärvi,66.71,27.43,46.02,87,65,6.24,FI,1601736856
Shimokizukuri,40.81,140.39,64.0,93,33,1.01,JP,1601736857
Srikakulam,18.3,83.9,81.12,85,26,4.47,IN,1601736857
Gävle,60.67,17.14,54.63,81,39,11.68,SE,1601736858
Storsteinnes,69.24,19.23,55.4,58,14,11.41,NO,1601736858
Sompeta,18.93,84.6,81.64,83,58,3.38,IN,1601736859
Sosnogorsk,63.6,53.88,36.41,82,56,5.48,RU,1601736860
San Patricio,19.22,-104.7,78.8,83,5,9.17,MX,1601736860
Sinjai,-5.12,120.25,75.51,81,50,4.14,ID,1601736861
Pevek,69.7,170.31,32.43,90,100,2.37,RU,1601736862
Yilan,24.76,121.75,80.01,88,40,10.29,TW,1601736863
Son La,21.32,103.9,72.09,93,60,2.66,VN,1601736863
Moose Factory,51.26,-80.61,37.4,86,90,6.93,CA,1601736864
Kirakira,-10.45,161.92,77.11,82,3,7.07,SB,1601736865
Berlevåg,70.86,29.09,49.32,78,18,21.79,NO,1601736866
Solnechnyy,50.72,136.63,44.01,93,100,1.7,RU,1601736866
Saint Anthony,45.02,-93.22,44.01,70,90,2.08,US,1601736867
Zavetnoye,47.12,43.89,65.32,27,100,9.08,RU,1601736867
North Platte,41.12,-100.77,44.6,75,1,6.93,US,1601736800
Malakal,9.53,31.66,79.84,82,93,3.6,SS,1601736869
Sarandi,-23.44,-51.87,97.61,24,19,9.64,BR,1601736869
Udachny,66.42,112.4,30.2,92,90,6.71,RU,1601736870
Anbu,23.45,116.68,80.6,74,20,2.24,CN,1601736871
Fortuna,40.6,-124.16,48.2,100,90,3.36,US,1601736717
Mabay,6.06,124.47,80.26,76,78,3.89,PH,1601736873
Zhangye,38.93,100.45,47.93,42,1,2.19,CN,1601736874
Chimala,-8.85,34.02,84.07,24,18,10.94,TZ,1601736875
Turukhansk,65.82,87.98,42.71,97,100,6.49,RU,1601736875
Bāgeshwar,29.85,79.77,69.35,64,0,2.42,IN,1601736876
Obosi,6.1,6.82,85.8,71,87,2.28,NG,1601736877
Biaora,23.87,76.92,77.27,46,1,1.21,IN,1601736878
Evensk,61.95,159.23,35.85,79,0,3.15,RU,1601736878
Gizo Government Station,-8.1,156.84,80.64,76,0,12.97,SB,1601736879
Lensk,60.73,114.93,28.71,92,1,5.61,RU,1601736880
Quaraí,-30.39,-56.45,51.15,89,100,22.3,BR,1601736880
Gopālpur,19.27,84.92,82.13,83,69,1.41,IN,1601736881
Songea,-10.68,35.65,87.8,31,40,11.41,TZ,1601736881
Bafia,4.75,11.23,80.37,75,100,2.75,CM,1601736882
Palāsbāri,26.14,91.55,84.2,100,75,3.36,IN,1601736883
Shar,49.59,81.05,43.39,61,0,2.24,KZ,1601736884
Matara,5.95,80.54,79.93,81,91,10.6,LK,1601736884
Vao,-22.67,167.48,68.45,76,14,17.87,NC,1601736885
Vanimo,-2.67,141.3,79.23,85,80,7.07,PG,1601736886
Lorengau,-2.02,147.27,81.46,77,94,9.17,PG,1601736886
Andros Town,24.7,-77.77,86.0,70,75,18.34,BS,1601736610
San Quintín,30.48,-115.95,77.31,47,0,1.79,MX,1601736888
Shimoda,34.67,138.95,70.81,63,98,3.42,JP,1601736888
Nago,26.59,127.98,75.2,83,1,9.51,JP,1601736889
Progreso,21.28,-89.67,75.0,94,90,11.41,MX,1601736890
Rochester,43.15,-77.62,52.0,76,75,10.29,US,1601736890
Pavino,59.11,46.14,49.33,78,63,5.28,RU,1601736891
Dubbo,-32.25,148.62,50.0,93,41,6.93,AU,1601736893
Russell,32.35,-85.2,64.0,87,1,3.36,US,1601736893
Sur,22.57,59.53,81.99,57,0,0.85,OM,1601736894
Otradnoye,59.78,30.82,62.6,59,94,11.18,RU,1601736895
North Bend,43.41,-124.22,54.0,100,90,5.82,US,1601736720
Krasnosel'kup,65.7,82.47,32.36,97,100,24.4,RU,1601736896
Omboué,-1.57,9.26,78.96,82,100,7.94,GA,1601736897
Bathsheba,13.22,-59.52,84.2,70,40,17.22,BB,1601736897
Chisindia,46.28,22.1,79.0,41,57,14.99,RO,1601736898
Almeria,37.17,-2.33,71.01,59,0,6.93,ES,1601736898
Waddān,29.16,16.14,104.67,7,22,7.2,LY,1601736899
Skjervøy,70.03,20.97,52.23,71,0,8.99,NO,1601736900
Onega,63.91,38.14,46.26,83,0,8.66,RU,1601736900
Brunswick,41.24,-81.84,53.01,76,40,6.93,US,1601736902
Chkalovskoye,44.84,133.04,48.99,76,53,4.21,RU,1601736902
Tuatapere,-46.13,167.68,55.99,89,100,10.0,NZ,1601736903
Amapá,1.0,-52.0,96.4,34,92,4.29,BR,1601736904
Seoul,37.57,126.98,66.2,72,75,2.98,KR,1601736662
San Rafael,-34.62,-68.33,41.22,83,100,11.77,AR,1601736879
Kontagora,10.4,5.47,84.06,64,31,6.69,NG,1601736906
Øksfjord,70.24,22.35,53.6,66,0,23.04,NO,1601736906
Troitskoye,52.98,84.68,40.91,69,0,4.54,RU,1601736908
Chaohu,31.6,117.87,62.6,100,90,8.95,CN,1601736909
Muhos,64.81,25.99,57.2,67,0,8.05,FI,1601736909
Emerald,-23.53,148.17,68.0,52,0,4.7,AU,1601736910
‘Ewa Beach,21.32,-158.01,77.0,83,75,4.7,US,1601736911
Kinlochleven,56.71,-4.97,48.99,93,40,4.16,GB,1601736911
Tsimmerbude,54.67,20.13,64.4,77,75,15.66,RU,1601736912
Port Lincoln,-34.73,135.87,59.61,91,100,5.57,AU,1601736913
Sobolevo,54.43,31.9,55.85,67,99,10.4,RU,1601736913
Makakilo City,21.35,-158.09,77.0,83,75,4.7,US,1601736914
Churapcha,62.0,132.43,25.84,90,0,2.1,RU,1601736914
Aras,42.56,-2.36,60.8,51,75,17.22,ES,1601736915
Rodolfo Sánchez Taboada,31.72,-116.57,82.8,29,0,0.98,MX,1601736916
Waingapu,-9.66,120.26,78.01,77,90,8.37,ID,1601736916
Caranavi,-15.82,-67.55,87.84,37,0,2.57,BO,1601736917
Mount Isa,-20.73,139.5,66.2,37,82,2.24,AU,1601736918
Nuuk,64.18,-51.72,35.6,80,75,2.24,GL,1601736739
Gamba,-2.65,10.0,81.09,77,76,11.14,GA,1601736919
Staryy Nadym,65.61,72.68,33.13,91,2,18.05,RU,1601736920
Cap Malheureux,-19.98,57.61,73.99,71,3,1.01,MU,1601736920
Nishihara,26.18,127.76,78.8,88,40,3.36,JP,1601736921
Ntungamo,-0.88,29.65,78.4,54,53,1.92,UG,1601736922
Peleduy,59.63,112.74,27.82,93,50,5.12,RU,1601736922
Havøysund,71.0,24.66,53.6,66,0,19.46,NO,1601736923
Bethel,41.37,-73.41,57.0,66,1,4.09,US,1601736923
Padang,-0.95,100.35,79.39,73,97,2.62,ID,1601736924
Magistral'nyy,56.17,107.45,26.56,90,0,1.95,RU,1601736925
Boksitogorsk,59.47,33.85,55.67,74,95,8.52,RU,1601736925
Kamloops,50.67,-120.32,46.4,93,5,2.24,CA,1601736722
Tosya,41.02,34.04,67.8,31,1,4.88,TR,1601736927
Gaza,31.5,34.47,81.0,57,40,12.75,PS,1601736928
Pyu,18.48,96.43,77.13,94,100,3.65,MM,1601736929
Sergeevka,53.88,67.42,53.1,80,100,8.14,KZ,1601736929
‘Āhuimanu,21.44,-157.84,78.8,83,20,4.7,US,1601736930
Toyooka,35.53,134.83,66.25,84,97,4.07,JP,1601736930
Bellary,15.15,76.93,76.89,78,78,9.4,IN,1601736931
Sangar,63.92,127.47,29.08,91,83,2.93,RU,1601736932
Kenora,49.82,-94.43,37.4,74,75,3.36,CA,1601736869
Nadym,65.53,72.52,32.99,91,0,18.21,RU,1601736933
Yar-Sale,66.83,70.83,34.86,85,90,18.88,RU,1601736750
Nerchinskiy Zavod,51.31,119.61,39.56,93,100,8.95,RU,1601736934
Tūkrah,32.53,20.58,92.52,29,33,13.89,LY,1601736935
Olpād,21.33,72.75,84.2,79,0,2.24,IN,1601736936
Port Hawkesbury,45.62,-61.35,60.01,82,90,11.41,CA,1601736937
Naze,28.37,129.48,77.0,78,19,6.93,JP,1601736938
Invermere,50.52,-116.04,55.17,55,0,0.09,CA,1601736939
Witney,51.78,-1.49,55.4,93,90,6.93,GB,1601736939
Comodoro Rivadavia,-45.87,-67.5,53.6,76,0,14.99,AR,1601736940
Fare,-16.7,-151.02,78.85,75,28,20.24,PF,1601736941
Richards Bay,-28.78,32.04,67.23,91,100,11.32,ZA,1601736941
Abu Dhabi,24.47,54.37,91.4,52,0,10.29,AE,1601736650
San Francisco,37.77,-122.42,66.0,87,40,4.7,US,1601736135
Cradock,-32.16,25.62,63.28,48,65,17.13,ZA,1601736944
Front Royal,38.92,-78.19,57.99,71,1,2.1,US,1601736780
Samarai,-10.62,150.67,78.4,87,64,14.61,PG,1601736945
Hamilton,39.18,-84.53,59.0,66,75,3.29,US,1601736930
Sandakan,5.84,118.12,78.8,94,40,3.36,MY,1601736946
Kungurtug,50.6,97.52,24.57,75,0,1.39,RU,1601736947
Tolmachëvo,54.98,82.74,44.6,81,39,8.95,RU,1601736948
Ponta Delgada,37.73,-25.67,71.6,68,75,11.41,PT,1601736948
